INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1137|21|12|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1174|34|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1177|44|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1184|44|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1193|34|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1194|42|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|327|32|11|Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|330|37|11|Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|339|30|11|Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|342|35|11|Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|352|7|20|Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|563|41|12|Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|564|41|11|Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check.
INFO|LINT|CURLY_BRACES_IN_FLOW_CONTROL_STRUCTURES|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|1378|9|30|Statements in an if should be enclosed in a block.
INFO|LINT|CURLY_BRACES_IN_FLOW_CONTROL_STRUCTURES|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|1380|9|31|Statements in an if should be enclosed in a block.
INFO|LINT|CURLY_BRACES_IN_FLOW_CONTROL_STRUCTURES|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|1382|9|30|Statements in an if should be enclosed in a block.
INFO|LINT|CURLY_BRACES_IN_FLOW_CONTROL_STRUCTURES|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|1384|9|22|Statements in an if should be enclosed in a block.
INFO|LINT|CURLY_BRACES_IN_FLOW_CONTROL_STRUCTURES|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|1406|11|52|Statements in an if should be enclosed in a block.
INFO|LINT|CURLY_BRACES_IN_FLOW_CONTROL_STRUCTURES|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|1408|11|52|Statements in an if should be enclosed in a block.
INFO|LINT|CURLY_BRACES_IN_FLOW_CONTROL_STRUCTURES|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|1418|11|44|Statements in an if should be enclosed in a block.
INFO|LINT|CURLY_BRACES_IN_FLOW_CONTROL_STRUCTURES|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|1420|11|44|Statements in an if should be enclosed in a block.
INFO|LINT|CURLY_BRACES_IN_FLOW_CONTROL_STRUCTURES|C:\\flutter_project\\mira\\lib\\features\\vision\\presentation\\vision_create_screen.dart|1600|9|15|Statements in an if should be enclosed in a block.
